annee;jourDebut;jourFin;parcelle;couvert;itk;N_lixivie[kgN/ha];N_volatilise_NH3[kgN/ha];N_mineralise_net_SOM[kgN/ha];N_mineralise_net_residus[kgN/ha];N_acquis_couvert[kgN/ha];N_mineral_debut[kgN/ha];N_mineral_fin[kgN/ha];emissions_N2O_directes[kgN/ha];emissions_N2[kgN/ha];N_fixe_legumineuses[kgN/ha];satisfactionAzote_culture[%];satisfactionAzote_ci[%];delta_Corg[kgC/ha];emissions_N2O_denit[kgN-N2O/ha];emissions_N2O_nit[kgN-N2O/ha];emissions_N2O_indirectes_volat[kgN-N2O/ha];emissions_N2O_indirectes_lixiv[kgN-N2O/ha]
2020;213;366;sudouest_prairie_41_1;solnu;;1.42;0.0;47.59;0.0;0.0;35.0;81.0;0.17;0.0;0;0;0;-530.18;0.15;0.03;0.0;1.42
2021;1;144;sudouest_prairie_41_1;solnu;;11.19;29.93;24.67;0.0;0.0;78.76;292.29;0.24;0.01;0;0;0;-275.53;0.23;0.01;29.93;11.19
2021;145;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;89.16;0.0;69.76;0.0;167.78;293.01;103.57;0.56;0.04;0;54.47;0;-782.21;0.52;0.04;0.0;89.16
2021;315;365;sudouest_prairie_41_1;solnu;;15.96;0.0;5.87;-9.63;0.0;103.57;87.92;0.0;0.0;0;0;0;-163.35;0.0;0.0;0.0;15.96
2022;1;133;sudouest_prairie_41_1;solnu;;20.87;15.92;22.23;-31.76;0.0;87.98;206.13;0.11;0.03;0;0;0;-119.1;0.11;0.0;15.92;20.87
2022;134;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;46.8;14.01;72.79;7.27;214.76;206.31;80.21;0.39;0.02;0;69.73;0;-278.41;0.34;0.05;14.01;46.8
2022;315;365;sudouest_prairie_41_1;solnu;;5.33;0.0;5.51;-9.09;0.0;80.21;73.87;0.0;0.0;0;0;0;-118.19;0.0;0.0;0.0;5.33
2023;1;150;sudouest_prairie_41_1;solnu;;4.05;29.93;24.98;-31.14;0.0;73.87;268.23;0.04;0.0;0;0;0;22.58;0.03;0.0;29.93;4.05
2023;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;10.09;0.0;59.7;10.7;242.84;268.5;84.56;0.28;0.06;0;78.84;0;-85.18;0.24;0.04;0.0;10.09
2023;315;365;sudouest_prairie_41_1;solnu;;3.29;0.0;5.25;-7.95;0.0;84.56;81.44;0.0;0.0;0;0;0;-96.64;0.0;0.0;0.0;3.29
