annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2020;213;366;sudouest_prairie_41_1;solnu;;1944.0;1.7;67.69;13.28;0.0;4.94;0.0;2029.91;0.07
2021;1;144;sudouest_prairie_41_1;solnu;;1010.29;1.69;105.82;6.88;139.23;39.05;1069.14;2370.42;0.07
2021;145;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;2868.09;1.66;241.1;19.47;0.0;311.05;0.0;3439.71;0.07
2021;315;365;sudouest_prairie_41_1;solnu;;598.94;1.65;0.0;0.56;0.0;55.68;0.0;655.18;0.07
2022;1;133;sudouest_prairie_41_1;solnu;;436.69;1.65;52.32;0.8;74.07;72.82;751.34;1388.03;0.07
2022;134;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;1020.84;1.64;157.31;22.34;65.16;163.27;317.8;1746.73;0.07
2022;315;365;sudouest_prairie_41_1;solnu;;433.35;1.63;0.0;0.91;0.0;18.59;0.0;452.86;0.07
2023;1;150;sudouest_prairie_41_1;solnu;;-82.78;1.63;15.38;1.98;139.23;14.13;1069.14;1157.07;0.06
2023;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;312.31;1.63;111.26;19.65;0.0;35.2;0.0;478.41;0.06
2023;315;365;sudouest_prairie_41_1;solnu;;354.33;1.62;0.0;1.08;0.0;11.46;0.0;366.88;0.06
2024;1;150;sudouest_prairie_41_1;solnu;;-422.21;1.63;87.47;2.57;139.23;62.01;1069.14;938.21;0.06
2024;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;125.66;1.63;169.25;21.54;0.0;193.58;0.0;510.04;0.06
2024;315;366;sudouest_prairie_41_1;solnu;;522.88;1.62;0.0;0.91;0.0;6.49;0.0;530.27;0.06
2025;1;150;sudouest_prairie_41_1;solnu;;-287.94;1.63;1.47;2.14;139.23;26.68;1069.14;950.72;0.06
2025;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;453.85;1.62;100.49;20.61;0.0;20.08;0.0;595.03;0.06
2025;315;365;sudouest_prairie_41_1;solnu;;187.49;1.62;0.19;1.06;0.0;12.47;0.0;201.21;0.06
2026;1;136;sudouest_prairie_41_1;solnu;;-327.84;1.62;30.77;1.95;139.23;55.16;1069.14;968.4;0.06
2026;137;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;73.23;1.62;154.74;23.62;0.0;70.94;0.0;322.54;0.06
2026;315;365;sudouest_prairie_41_1;solnu;;321.8;1.62;0.03;0.84;0.0;10.04;0.0;332.71;0.06
2027;1;150;sudouest_prairie_41_1;solnu;;-505.33;1.62;32.56;2.15;139.23;61.02;1069.14;798.77;0.06
2027;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;290.84;1.62;85.97;21.82;0.0;29.56;0.0;428.18;0.06
2027;315;365;sudouest_prairie_41_1;solnu;;370.71;1.62;0.0;1.24;0.0;27.0;0.0;398.96;0.06
2028;1;138;sudouest_prairie_41_1;solnu;;-517.25;1.62;32.66;1.54;139.23;38.46;1069.14;763.78;0.06
2028;139;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;-174.03;1.62;95.04;19.52;0.0;15.71;0.0;-43.77;0.06
2028;315;366;sudouest_prairie_41_1;solnu;;324.36;1.62;0.08;1.0;0.0;26.28;0.0;351.71;0.06
2029;1;150;sudouest_prairie_41_1;solnu;;-854.14;1.63;42.8;3.26;139.23;32.52;1069.14;432.81;0.06
2029;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;339.26;1.63;169.68;21.84;0.0;55.95;0.0;586.72;0.06
2029;315;365;sudouest_prairie_41_1;solnu;;371.74;1.62;0.0;1.38;0.0;39.42;0.0;412.54;0.06
2030;1;150;sudouest_prairie_41_1;solnu;;-399.51;1.63;9.93;2.7;139.23;11.67;1069.14;833.16;0.06
2030;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;132.2;1.62;137.31;18.62;0.0;78.94;0.0;367.08;0.06
2030;315;365;sudouest_prairie_41_1;solnu;;424.42;1.62;0.0;1.3;0.0;36.1;0.0;461.82;0.06
