annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[°C]
2020;213;366;sudouest_prairie_41_1;solnu;;172.67;0.0;33.7;7.1;0.0;45.53;248.32;56.85;310.34;-1.0;-1.0;0.0;291.03;0.0;0.0
2021;1;144;sudouest_prairie_41_1;solnu;;128.75;0.0;143.0;13.18;0.0;310.4;248.32;47.89;301.37;56.91;310.4;0.0;240.15;0.0;0.0
2021;145;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;161.92;151.01;258.6;17.3;0.01;47.17;300.65;150.1;310.4;56.91;310.4;98.7;355.57;225.0;1603.15
2021;315;365;sudouest_prairie_41_1;solnu;;16.26;0.0;105.42;0.8;0.0;150.1;310.4;56.91;310.4;56.91;310.4;0.0;121.69;0.0;0.0
2022;1;133;sudouest_prairie_41_1;solnu;;116.64;0.0;168.28;12.43;0.0;309.94;248.32;43.34;296.83;56.46;309.94;0.0;271.35;0.0;0.0
2022;134;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;167.62;255.79;182.99;9.73;0.0;41.19;300.65;167.49;310.4;56.46;309.94;97.08;380.18;240.0;1828.13
2022;315;365;sudouest_prairie_41_1;solnu;;17.6;0.0;63.06;1.24;0.0;167.49;310.4;56.78;310.26;56.46;309.94;0.0;80.32;0.0;0.0
2023;1;150;sudouest_prairie_41_1;solnu;;158.74;0.0;47.6;14.83;0.0;309.85;248.32;38.31;291.79;56.36;309.85;0.0;187.86;0.0;0.0
2023;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;146.3;267.23;46.83;5.71;0.0;35.67;300.65;85.8;234.4;56.36;309.85;89.04;192.98;210.0;1802.84
2023;315;365;sudouest_prairie_41_1;solnu;;18.55;0.0;20.93;0.59;0.0;85.8;310.4;56.91;310.4;56.36;309.85;0.0;115.47;0.0;0.0
2024;1;150;sudouest_prairie_41_1;solnu;;147.76;0.0;127.82;12.93;0.0;310.23;248.32;53.87;307.36;56.74;310.23;0.0;272.53;0.0;0.0
2024;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;157.55;198.11;164.79;13.15;0.0;49.91;300.65;136.01;292.43;56.74;310.23;98.3;295.52;210.0;1677.28
2024;315;366;sudouest_prairie_41_1;solnu;;19.15;0.0;20.22;0.49;0.0;136.01;310.4;56.4;309.89;56.74;310.23;0.0;61.16;0.0;0.0
2025;1;150;sudouest_prairie_41_1;solnu;;156.32;0.0;65.1;13.79;0.0;310.4;248.32;33.94;287.43;56.91;310.4;0.0;194.64;0.0;0.0
2025;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;142.86;263.03;33.38;4.89;0.0;32.81;300.65;143.23;294.23;56.91;310.4;94.46;236.08;210.0;1721.5
2025;315;365;sudouest_prairie_41_1;solnu;;17.09;0.0;31.17;1.59;0.0;143.23;310.4;56.91;310.4;56.91;310.4;0.0;64.42;0.0;0.0
2026;1;136;sudouest_prairie_41_1;solnu;;116.14;0.0;163.13;15.13;0.0;310.15;248.32;52.15;305.64;56.66;310.15;0.0;279.36;0.0;0.0
2026;137;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;145.06;285.51;86.86;20.37;0.0;55.35;300.65;177.0;309.66;56.66;310.15;87.54;276.6;240.0;1986.97
2026;315;365;sudouest_prairie_41_1;solnu;;18.24;0.0;16.98;0.9;0.0;177.0;310.4;55.26;308.75;56.66;310.15;0.0;34.3;0.0;0.0
2027;1;150;sudouest_prairie_41_1;solnu;;140.73;0.0;166.39;12.54;0.0;308.65;248.32;42.04;295.53;55.17;308.65;0.0;294.54;0.0;0.0
