annee;date;parcelle;exploitation;culture;ITK;OT;temps[h];profondeur[cm];RECOLTE_rendement[t/ha];RECOLTE_risqueEchaudage[%];RECOLTE_impactGel[%];IRRIGATION_dose[mm];IRRIGATION_reelle[mm];FERTI_produit;FERTI_nature;FERTI_annulee;FERTI_doseBruteOrg[kg/ha];FERTI_apportNminTheorique[kg/ha];FERTI_apportNminReel[kg/ha];FERTI_apportNorg_labile[kg/ha];FERTI_apportNorg_recalcitrant[kg/ha];BIOMASSE_export[t/ha];BIOMASSE_aer_restit[t/ha];BIOMASSE_rac_restit[t/ha];N_export[kg/ha];C_export[kg/ha];id_lot;nb_ugb;duree_pature[j];herbe_consommee[kg];recolte_forcee_raison;semis_force_raison
2021;145;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2021;152;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2021;159;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2021;166;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2021;173;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2021;180;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2021;187;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2021;194;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2021;201;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2021;208;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
