annee;date;parcelle;exploitation;culture;situation;masse_C[kg/ha];masse_N[kg/ha];ratio_CN;nom_produit;type_residu;type_pool;Kres;Hres;CNbio;Yres
2021;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;incorpore;1167.0;12.62406178149214;92.44251336847172;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2021;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;surface;3434.321220781152;37.15088540585327;92.44251336847172;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2022;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;incorpore;1167.0;14.102624164909397;82.75055665907675;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2022;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;surface;3951.9668803856503;47.75758665488285;82.75055665907674;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2023;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;incorpore;1167.0;15.164332897783245;76.9568966776372;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2023;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;surface;4184.854245161175;54.37919700284959;76.9568966776372;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2024;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;incorpore;1167.0;13.215084734076282;88.30817383945983;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2024;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;surface;3672.293522451843;41.58497863547606;88.30817383945983;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2025;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;incorpore;1167.0;16.07091702269193;72.61564466745804;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2025;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;surface;4315.30898211867;59.42671172142788;72.61564466745804;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2026;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;incorpore;1167.0;15.660410799737;74.5191179799446;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2026;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;surface;3642.7141780154966;48.88294811803682;74.5191179799446;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2027;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;incorpore;1167.0;16.31026515522246;71.55003238106971;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2027;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;surface;4289.641619166705;59.95303532946594;71.55003238106971;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2028;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;incorpore;1167.0;16.580880505949164;70.38226948088096;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2028;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;surface;3731.413692723525;53.016387795468106;70.38226948088096;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2029;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;incorpore;1167.0;15.305412683978801;76.2475356983727;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2029;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;surface;4208.84603558018;55.199764779676755;76.2475356983727;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2030;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;incorpore;1167.0;15.044685258731707;77.56892084682801;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2030;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;surface;4163.335854478852;53.672731411334325;77.56892084682801;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
