annee;jourDebut;jourFin;parcelle;couvert;itk;N_lixivie[kgN/ha];N_volatilise_NH3[kgN/ha];N_mineralise_net_SOM[kgN/ha];N_mineralise_net_residus[kgN/ha];N_acquis_couvert[kgN/ha];N_mineral_debut[kgN/ha];N_mineral_fin[kgN/ha];emissions_N2O_directes[kgN/ha];emissions_N2[kgN/ha];N_fixe_legumineuses[kgN/ha];satisfactionAzote_culture[%];satisfactionAzote_ci[%];delta_Corg[kgC/ha];emissions_N2O_denit[kgN-N2O/ha];emissions_N2O_nit[kgN-N2O/ha];emissions_N2O_indirectes_volat[kgN-N2O/ha];emissions_N2O_indirectes_lixiv[kgN-N2O/ha]
2020;213;226;sudouest_prairie_41_1;solnu;;0.0;0.0;6.63;0.0;0.0;35.0;41.62;0.01;0.0;0;0;0;-67.69;0.01;0.0;0.0;0.0
2020;227;366;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;1.11;0.0;41.5;0.97;69.66;42.42;13.27;0.04;0.0;156.68;0;100.0;-461.66;0.01;0.03;0.0;1.11
2021;1;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;5.2;0.0;101.42;40.18;147.54;11.04;2.04;0.09;0.0;633.58;0;100.0;-637.5;0.0;0.09;0.0;5.2
2022;1;122;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;0.47;0.0;19.97;32.57;52.44;2.19;1.61;0.03;0.0;118.23;0;99.18;-8.29;0.0;0.03;0.0;0.47
2022;123;133;sudouest_prairie_41_1;solnu;;0.05;15.0;3.74;16.87;0.0;1.61;95.11;0.04;0.01;0;0;0;30.64;0.03;0.01;15.0;0.05
2022;134;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;19.87;14.01;81.09;110.8;265.5;96.55;57.02;0.56;0.05;0;86.2;0;1080.09;0.45;0.12;14.01;19.87
2022;315;365;sudouest_prairie_41_1;solnu;;3.74;0.0;6.44;-14.27;0.0;57.02;51.78;0.0;0.0;0;0;0;-45.57;0.0;0.0;0.0;3.74
2023;1;150;sudouest_prairie_41_1;solnu;;2.84;29.93;29.56;-22.42;0.0;51.78;256.37;0.04;0.0;0;0;0;333.56;0.03;0.01;29.93;2.84
2023;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;8.16;0.0;71.72;25.41;266.75;256.83;77.42;0.31;0.06;0;86.61;0;100.37;0.25;0.06;0.0;8.16
2023;315;365;sudouest_prairie_41_1;solnu;;2.96;0.0;6.35;-11.34;0.0;77.42;73.46;0.0;0.0;0;0;0;-88.4;0.0;0.0;0.0;2.96
2024;1;226;sudouest_prairie_41_1;solnu;;23.22;0.0;64.86;-24.71;0.0;73.46;93.71;0.11;0.04;0;0;0;291.71;0.08;0.03;0.0;23.22
2024;227;366;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;8.77;0.0;42.65;8.36;82.9;94.4;52.95;0.06;0.04;175.43;0;100.0;-117.27;0.03;0.03;0.0;8.77
2025;1;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;5.91;0.0;105.27;67.44;205.29;52.93;14.36;0.11;0.0;691.71;0;100.0;-324.1;0.0;0.1;0.0;5.91
2026;1;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;8.24;0.0;112.25;89.48;206.42;14.49;1.31;0.12;0.0;737.6;0;100.0;203.55;0.0;0.12;0.0;8.24
2027;1;122;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;0.96;0.0;19.5;49.25;67.06;1.31;0.5;0.04;0.0;106.99;0;99.18;216.43;0.0;0.04;0.0;0.96
2027;123;150;sudouest_prairie_41_1;solnu;;0.01;29.01;9.0;17.07;0.0;0.5;155.49;0.05;0.0;0;0;0;195.11;0.04;0.02;29.01;0.01
2027;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;2.15;0.0;86.02;97.56;268.49;156.35;66.96;0.42;0.01;0;87.17;0;955.45;0.31;0.11;0.0;2.15
2027;315;365;sudouest_prairie_41_1;solnu;;3.93;0.0;8.21;-42.46;0.0;66.96;31.46;0.0;0.0;0;0;0;47.88;0.0;0.0;0.0;3.93
2028;1;138;sudouest_prairie_41_1;solnu;;5.6;29.93;28.59;-19.4;0.0;30.87;177.07;0.08;0.02;0;0;0;366.14;0.07;0.01;29.93;5.6
2028;139;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;3.44;0.0;81.36;40.29;245.43;177.55;105.43;0.39;0.01;0;79.69;0;26.32;0.32;0.07;0.0;3.44
2028;315;366;sudouest_prairie_41_1;solnu;;7.82;0.0;9.65;-43.09;0.0;105.43;64.79;0.01;0.0;0;0;0;10.51;0.01;0.0;0.0;7.82
2029;1;227;sudouest_prairie_41_1;solnu;;9.93;0.0;85.64;-1.82;0.0;64.76;138.58;0.1;0.0;0;0;0;198.8;0.05;0.05;0.0;9.93
2029;228;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;17.34;0.0;49.95;13.13;139.53;139.2;44.61;0.18;0.0;114.65;0;100.0;-278.81;0.14;0.04;0.0;17.34
2030;1;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;10.17;0.0;114.41;66.31;209.1;44.61;5.94;0.11;0.0;697.16;0;100.0;-558.1;0.01;0.11;0.0;10.17
