annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2020;213;226;sudouest_prairie_41_1;solnu;;248.19;1.72;2.36;1.85;0.0;0.0;0.0;252.4;0.06
2020;227;366;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;1692.77;1.7;6.96;11.85;0.0;3.86;0.0;1715.44;0.07
2021;1;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;2337.51;1.67;0.06;39.74;0.0;18.15;0.0;2395.45;0.07
2022;1;122;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;30.39;1.67;0.01;14.66;0.0;1.65;0.0;46.72;0.07
2022;123;133;sudouest_prairie_41_1;solnu;;-112.34;1.67;15.11;5.75;69.78;0.18;473.44;451.91;0.07
2022;134;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;-3960.33;1.72;208.18;53.55;65.16;69.31;317.8;-3246.33;0.07
2022;315;365;sudouest_prairie_41_1;solnu;;167.09;1.72;0.0;0.55;0.0;13.03;0.0;180.68;0.07
2023;1;150;sudouest_prairie_41_1;solnu;;-1223.06;1.73;15.64;4.08;139.23;9.9;1069.14;14.93;0.07
2023;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;-368.02;1.73;116.73;27.11;0.0;28.46;0.0;-195.72;0.07
2023;315;365;sudouest_prairie_41_1;solnu;;324.13;1.73;0.0;1.02;0.0;10.34;0.0;335.48;0.07
2024;1;226;sudouest_prairie_41_1;solnu;;-1069.6;1.74;39.25;13.56;0.0;81.0;0.0;-935.78;0.07
2024;227;366;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;429.98;1.74;14.33;14.24;0.0;30.6;0.0;489.14;0.07
2025;1;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;1188.36;1.72;1.31;48.37;0.0;20.6;0.0;1258.64;0.07
2026;1;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;-746.37;1.73;0.3;56.73;0.0;28.74;0.0;-660.6;0.07
2027;1;122;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;-793.59;1.74;0.05;19.19;0.0;3.34;0.0;-771.02;0.07
2027;123;150;sudouest_prairie_41_1;solnu;;-715.4;1.75;16.33;7.27;134.94;0.04;791.24;234.41;0.07
2027;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;-3503.3;1.79;146.17;51.24;0.0;7.49;0.0;-3298.41;0.07
2027;315;365;sudouest_prairie_41_1;solnu;;-175.58;1.79;0.41;0.78;0.0;13.7;0.0;-160.68;0.07
2028;1;138;sudouest_prairie_41_1;solnu;;-1342.51;1.8;33.42;4.4;139.23;19.52;1069.14;-76.8;0.07
2028;139;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;-96.5;1.8;147.69;33.95;0.0;12.01;0.0;97.15;0.07
2028;315;366;sudouest_prairie_41_1;solnu;;-38.55;1.8;3.9;0.74;0.0;27.29;0.0;-6.62;0.07
2029;1;227;sudouest_prairie_41_1;solnu;;-728.95;1.81;21.22;24.53;0.0;34.64;0.0;-648.56;0.07
2029;228;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;1022.3;1.8;66.71;17.61;0.0;60.48;0.0;1167.09;0.07
2030;1;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;2046.38;1.78;2.76;50.6;0.0;35.49;0.0;2135.23;0.07
