annee;date;parcelle;exploitation;culture;ITK;OT;temps[h];profondeur[cm];RECOLTE_rendement[t/ha];RECOLTE_risqueEchaudage[%];RECOLTE_impactGel[%];IRRIGATION_dose[mm];IRRIGATION_reelle[mm];FERTI_produit;FERTI_nature;FERTI_annulee;FERTI_doseBruteOrg[kg/ha];FERTI_apportNminTheorique[kg/ha];FERTI_apportNminReel[kg/ha];FERTI_apportNorg_labile[kg/ha];FERTI_apportNorg_recalcitrant[kg/ha];BIOMASSE_export[t/ha];BIOMASSE_aer_restit[t/ha];BIOMASSE_rac_restit[t/ha];N_export[kg/ha];C_export[kg/ha];id_lot;nb_ugb;duree_pature[j];herbe_consommee[kg];recolte_forcee_raison;semis_force_raison
2020;227;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;luzernePreLuzerne_t2050_aveyron;SEMIS;0.73;5.0;;;;;;;;;;;;;;;;;;;;;;;;
2020;281;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;luzernePreLuzerne_t2050_aveyron;FAUCHE;0.26;;1.87;;;;;;;;;;;;;;0.1;;89.56;823.81;;;;;;
2021;132;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;luzernePreLuzerne_t2050_aveyron;FAUCHE;0.26;;3.04;;;;;;;;;;;;;;0.16;;127.72;1336.49;;;;;;
2021;158;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;luzernePreLuzerne_t2050_aveyron;FAUCHE;0.26;;2.09;;;;;;;;;;;;;;0.11;;98.22;921.42;;;;;;
2021;204;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;luzernePreLuzerne_t2050_aveyron;FAUCHE;0.26;;3.72;;;;;;;;;;;;;;0.2;;146.62;1638.14;;;;;;
2021;237;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;luzernePreLuzerne_t2050_aveyron;FAUCHE;0.26;;2.12;;;;;;;;;;;;;;0.11;;97.14;931.57;;;;;;
2021;277;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;luzernePreLuzerne_t2050_aveyron;FAUCHE;0.26;;1.88;;;;;;;;;;;;;;0.1;;89.79;826.78;;;;;;
2022;134;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;141;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;148;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;155;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;162;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;169;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;176;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;183;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;190;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;197;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;204;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;211;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;218;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;225;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;232;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;239;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;IRRIGATION;0.58;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;
2022;122;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;luzernePreLuzerne_t2050_aveyron;RECOLTE;0.0;0.0;0.0;;;;;;;;;;;;;0.0;4.23;5.88;;;;;;;;
2022;314;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;RECOLTE;;3.0;13.54;;;;;;;;;;;;;0.0;9.8;3.78;;;;;;;;
2022;134;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;SEMIS;0.81;3.0;;;;;;;;;;;;;;;;;;;;;;;;
2022;123;sudouest_prairie_41_1;mineral_sudouest_prairie;maisDP;maisDP_accalmie;FERTI;0.15;0.0;;;;;;NP;mineral;N;-1.0;18.0;18.0;0.0;0.0;;;;;;;;;;;
