annee;date;parcelle;exploitation;culture;situation;masse_C[kg/ha];masse_N[kg/ha];ratio_CN;nom_produit;type_residu;type_pool;Kres;Hres;CNbio;Yres
2020;244;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;0.09997764463236995;0.006248602789523122;16.0;aerien senescent;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;244;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;3.635710355195095;0.1454284142078038;25.0;rhizodeposition;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;281;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;43.35854747264371;3.6132122893869756;12.0;feuilles perdues fauche;residus aeriens;labile;0.0;0.0;0.0;0.0
2021;32;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;228.3184520627781;33.96814486278252;6.721546112838711;senescence hivernale;residus racinaires;labile;0.0;0.0;0.0;0.0
2021;32;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;192.06278951313257;12.003924344570786;16.0;aerien senescent;residus aeriens;labile;0.0;0.0;0.0;0.0
2021;121;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;66.12559652643695;4.132849782902309;16.0;aerien senescent;residus aeriens;labile;0.0;0.0;0.0;0.0
2021;132;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;70.34145352782006;5.861787793985005;12.0;feuilles perdues fauche;residus aeriens;labile;0.0;0.0;0.0;0.0
2021;158;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;48.49596819364396;4.041330682803664;12.0;feuilles perdues fauche;residus aeriens;labile;0.0;0.0;0.0;0.0
2021;182;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;174.21416344956566;10.888385215597854;16.0;aerien senescent;residus aeriens;labile;0.0;0.0;0.0;0.0
2021;204;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;86.21809213697595;7.184841011414663;12.0;feuilles perdues fauche;residus aeriens;labile;0.0;0.0;0.0;0.0
2021;237;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;49.02979033631327;4.085815861359439;12.0;feuilles perdues fauche;residus aeriens;labile;0.0;0.0;0.0;0.0
2021;244;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;191.4772514042507;11.967328212765668;16.0;aerien senescent;residus aeriens;labile;0.0;0.0;0.0;0.0
2021;244;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;1217.5481949801188;48.701927799204746;25.000000000000004;rhizodeposition;residus racinaires;labile;0.0;0.0;0.0;0.0
2021;277;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;43.514562172092724;3.6262135143410603;12.0;feuilles perdues fauche;residus aeriens;labile;0.0;0.0;0.0;0.0
2022;32;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;254.852372193896;40.085961045289096;6.357646556258535;senescence hivernale;residus racinaires;labile;0.0;0.0;0.0;0.0
2022;32;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;192.3167483960399;12.019796774752495;16.0;aerien senescent;residus aeriens;labile;0.0;0.0;0.0;0.0
2022;121;sudouest_prairie_41_1;mineral_sudouest_prairie;alfalfa;incorpore;119.04228001730158;7.440142501081349;16.0;aerien senescent;residus aeriens;labile;0.0;0.0;0.0;0.0
